"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","27/805","157/17381",3.3126372830472e-09,9.47040529402841e-06,8.27706190313896e-06,"120114/2196/999/1952/1007/54549/57717/56111/56130/79633/60437/84623/8641/56104/56108/56129/56133/56144/55714/54510/54798/1010/22997/222256/221935/26025/23654",27
"GO:0050808","synapse organization","36/805","260/17381",4.017991215116e-09,9.47040529402841e-06,8.27706190313896e-06,"27445/8997/5728/22941/5649/288/999/7058/8927/55607/1108/22899/120892/1287/1007/54549/57717/56130/84631/7402/785/9231/84623/8443/4897/4644/4593/4038/56129/56133/11141/10497/139065/2049/23191/221935",36
"GO:0007018","microtubule-based movement","34/805","265/17381",7.37876060964611e-08,9.75864758505576e-05,8.52898346424051e-05,"667/1768/54768/23224/25981/196385/8701/79659/1769/23095/26160/1770/1213/144132/1062/8632/8481/8100/6103/66008/9742/8195/28981/339829/3895/56171/55567/55614/55764/51143/10128/10013/199223/27031",34
"GO:0007416","synapse assembly","24/805","150/17381",1.02573960461463e-07,9.75864758505576e-05,8.52898346424051e-05,"27445/5728/22941/999/7058/8927/55607/1007/54549/57717/56130/84631/9231/84623/8443/4897/4593/4038/56129/56133/11141/139065/2049/221935",24
"GO:0051493","regulation of cytoskeleton organization","48/805","457/17381",1.03507080876705e-07,9.75864758505576e-05,8.52898346424051e-05,"6708/157922/8500/4703/10178/11113/55704/84665/64857/55607/56890/23189/22899/1213/10565/4233/324/88/6249/5903/79822/7984/7514/7840/7175/6709/6711/9353/8195/85360/285190/3611/4926/55755/54551/54961/5156/5314/11190/11214/10274/10013/10735/10769/152185/2011/23191/23271",48
"GO:0001655","urogenital system development","37/805","316/17381",2.12856286638956e-07,0.000142818559763043,0.000124822330552341,"5728/2625/93649/25836/2099/2200/120892/1063/55959/3655/3169/65250/79633/80144/9742/9353/9231/84623/8516/3675/3611/4811/4763/4038/3911/5800/581/54798/55083/5125/5156/5314/2049/170690/1634/1636/27031",37
"GO:0034330","cell junction organization","33/805","265/17381",2.32473081960986e-07,0.000142818559763043,0.000124822330552341,"5728/23499/129446/287/999/7368/81671/4301/261734/2316/1007/10207/54549/3655/324/88/9693/6833/7094/9231/8443/2889/3611/3909/3911/55679/5800/57493/5339/1010/1636/2318/221935",33
"GO:0044782","cilium organization","40/805","358/17381",2.42373457383187e-07,0.000142818559763043,0.000124822330552341,"1768/54768/23224/25981/55704/79659/10142/1769/261734/26160/2316/144132/11064/282809/8481/65250/8100/79867/7840/6101/6103/64422/9742/8195/28981/339829/3911/56171/55567/55755/55764/54801/5314/11190/10013/199223/1785/170690/22995/27031",40
"GO:0060271","cilium assembly","39/805","347/17381",2.94090157918677e-07,0.00015403788938096,0.000134627938958327,"1768/54768/23224/25981/55704/79659/10142/1769/261734/26160/2316/144132/11064/282809/8481/65250/8100/79867/7840/6101/6103/64422/9742/8195/28981/339829/3911/56171/55567/55755/55764/54801/5314/11190/10013/1785/170690/22995/27031",39
"GO:0000226","microtubule cytoskeleton organization","47/805","472/17381",6.68406070733609e-07,0.000295483977975482,0.000258250740190705,"157922/54768/23224/259266/25981/55704/56890/10142/1769/26160/2316/1213/144132/1062/4233/324/675/6249/5903/7514/7175/6101/9611/84056/29072/285190/339829/4926/4627/4130/4133/56171/55567/55755/54801/51143/5314/11190/10274/10013/10735/10769/152185/2011/22995/23177/23271",47
